H,Code,Term,Type
D,200,From the Earth to the Moon,title
D,202,Arthur C. Clarke,name
D,217,hydrogen,word
D,226,UFO,word
D,229,antimatter,word
D,231,submersible,word
D,233,transmitter,word
D,264,laser,word
D,276,orbit,word
D,283,Buck Rogers,name
D,285,Flash Gordon,name
D,306,extraterrestrial,word
D,316,electron,word
D,323,alien,word
D,328,laser,word
D,331,cyborg,word
D,333,extraterrestrial,word
D,338,SETI,word
D,339,Rendezvous with Ramma,title
D,344,spacesuit,word
D,352,docking maneuver,phrase
D,363,robot,word
D,369,ray gun,phrase
D,382,Klaatu,name
D,389,titanium,word
D,391,The Time Machine,title
D,394,tachion,word
D,398,electron,word
D,412,titanium,word
D,434,anti-gravity,word
D,440,Ray Bradbury,name
D,448,android,word
D,451,rocket,word
D,453,laser,word
D,464,cyborg,word
D,472,rocket,word
D,491,electron,word
D,504,nuclear,word
D,505,Klaatu,name
D,512,The Time Machine,title
D,518,time travel,phrase
D,529,extraterrestrial,word
D,533,black hole,phrase
D,554,black hole,phrase
D,562,black hole,phrase
D,565,Arthur C. Clarke,name
D,579,electron,word
D,600,antimatter,word
D,604,electron,word
D,606,sonar,word
D,611,forcefield,word
D,614,space cadet,phrase
D,621,alien,word
D,636,SETI,word
D,637,close encounter,phrase
D,645,orbit,word
D,652,gamma ray,phrase
D,655,H. G. Wells,name
D,657,Jules Verne,name
D,661,microscope,word
D,673,laser,word
D,680,The Illustrated Man,title
D,693,space cadet,phrase
T,63
